어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
생크림어린이집,경기도,광주시,민간,111,18,경기도 광주시 오포읍 대명대길11번길 27 (능평리 408외 1필지),031-719-3237,031-717-3238,11,,12,Y,,2020-05-08
엄마누리어린이집,경기도,광주시,민간,60,12,경기도 광주시 모개미길 38 (목현동 438-2),031-764-7166,031-764-7166,4,,6,Y,,2020-05-08
엄마사랑어린이집,경기도,광주시,가정,19,6,경기도 광주시 경충대로 923-1 대주아파트103동102호,031-797-3059,,3,,4,Y,,2020-05-08
성원꼬마숲어린이집,경기도,광주시,가정,20,4,경기도 광주시 태봉로 86 우림필유아파트 107동101호,031-699-7688,,3,,5,N,,2020-05-08
세움어린이집,경기도,광주시,민간,112,17,경기도 광주시 양촌길 89-10,031-798-8066,031-798-8087,9,,16,Y,,2020-05-08
셈어린이집,경기도,광주시,가정,20,2,경기도 광주시 초월읍 독고개길 14-24 104동 103호,031-762-3891,070-8241-1583,4,,0,N,,2020-05-08
엔젤어린이집,경기도,광주시,가정,20,5,"경기도 광주시 탄벌길 60 103동 101호(탄벌동, 우림아파트)",031-798-1035,,3,,4,N,,2020-05-08
소나무어린이집,경기도,광주시,민간,64,14,경기도 광주시 오포읍 새말길 208,031-8022-8377,031-8022-8377,7,,7,Y,,2020-05-08
솔빛어린이집,경기도,광주시,가정,20,6,경기도 광주시 태봉로 50 성원아파트 106동 104호,031-765-8240,,4,,8,Y,,2020-05-08
송정빅스맘어린이집,경기도,광주시,민간,33,7,경기도 광주시 중앙로 338-5 1층,031-8028-5055,031-8028-5056,4,,5,Y,,2020-05-08
수연어린이집,경기도,광주시,가정,20,8,경기도 광주시 경안천로 145 203동 102호(금강펜테리움),031-797-6704,,3,,4,N,,2020-05-08
숲속동화어린이집,경기도,광주시,민간,49,8,경기도 광주시 오포읍 상태길 177-6,031-726-9307,031-726-2799,6,,8,Y,,2020-05-08
숲속빅스맘어린이집,경기도,광주시,민간,24,4,경기도 광주시 도척면 궁뜰길14번길 49,031-765-4154,,5,,6,Y,,2020-05-08
숲속어린이집,경기도,광주시,법인·단체,95,14,경기도 광주시 남종면 산수로 1595-7,031-765-7245,031-765-7247,7,,8,Y,,2020-05-08
스머프어린이집,경기도,광주시,가정,20,5,경기도 광주시 퇴촌면 도지울길13번길 22-10 106동 102호(초원맨션),031-763-6853,031-763-6832,3,,4,Y,,2020-05-08
신경안어린이집,경기도,광주시,국공립,58,15,경기도 광주시 중앙로123번길 5,031-767-2057,,5,,10,N,,2020-05-08
신나는아이세상어린이집,경기도,광주시,가정,20,6,경기도 광주시 능평로 193 오포베르빌아파트 102동 102호,031-763-2713,031-763-2713,3,,0,N,,2020-05-08
신현해아어린이집,경기도,광주시,가정,16,3,경기도 광주시 오포읍 새말길 71 현도빌라 102호,031-719-7953,031-719-7953,3,,4,N,,2020-05-08
실로암어린이집,경기도,광주시,가정,20,3,"경기도 광주시 탄벌길 66 B동 101호(탄벌동, 황제쉐르빌)",031-761-6595,031-761-6595,4,,4,N,,2020-05-08
쌍용꼬마숲어린이집,경기도,광주시,가정,19,7,경기도 광주시 곤지암로 120 쌍용1차 101동105호,070-7593-0490,031-763-0490,4,,4,N,,2020-05-08
아기햇살어린이집,경기도,광주시,가정,20,6,경기도 광주시 삼지곡길 79 오페라하우스201-101,031-798-9922,031-798-9922,4,,5,N,,2020-05-08
아띠랑어린이집,경기도,광주시,가정,20,5,"경기도 광주시 태봉로 50 104동 101호(태전동, 성원상떼빌1단지아파트)",070-7559-8625,031-765-8625,4,,5,Y,,2020-05-08
아이꿈어린이집,경기도,광주시,가정,19,6,경기도 광주시 벌원길 64-5 동보아파트 101동103호,031-769-5177,031-769-5167,3,,4,N,,2020-05-08
열미어린이집,경기도,광주시,국공립,97,17,경기도 광주시 곤지암읍 광여로 224-14,031-769-0207,031-769-7227,6,,15,Y,,2020-05-08
베이비키즈스쿨어린이집,경기도,광주시,가정,17,5,경기도 광주시 오포읍 상태길 18 한성빌라 101호,031-726-9302,031-726-9302,3,,4,N,,2020-05-08
보미어린이집,경기도,광주시,민간,62,7,경기도 광주시 초월읍 지월로16번길 17,031-763-0870,031-763-0215,5,,8,Y,,2020-05-08
봄햇살어린이집,경기도,광주시,민간,127,17,경기도 광주시 오포읍 양촌길 4-9,031-797-5279,,7,,19,Y,,2020-05-08
사나래어린이집,경기도,광주시,민간,46,9,경기도 광주시 경충대로 1407-9,031-764-0338,031-767-4375,4,,7,Y,,2020-05-08
사랑나무어린이집,경기도,광주시,가정,20,2,경기도 광주시 오포읍 수렁개들길32번길 50 103동 104호,031-764-2026,031-797-9460,3,,4,N,,2020-05-08
산내들어린이집,경기도,광주시,민간,41,8,경기도 광주시 과수원길27번길 11 (경안동),031-765-3125,031-765-3120,7,,7,Y,,2020-05-08
산이리꼬마숲어린이집,경기도,광주시,가정,18,5,경기도 광주시 경충대로 921 벽산블루밍아파트 103-105,031-797-2117,,3,,4,N,,2020-05-08
사랑샘어린이집,경기도,광주시,가정,20,5,경기도 광주시 고불로 453 104동 102호(삼동 우남아파트),031-699-5425,031-699-5425,4,,4,N,,2020-05-08
삼주어린이집,경기도,광주시,가정,16,1,경기도 광주시 곤지암읍 곤지암로11번길 11-10 삼주노블리제106-101,031-699-8980,,3,,4,N,,2020-05-08
새롬어린이집,경기도,광주시,민간,163,20,경기도 광주시 오포읍 양벌로353번길 29-3,031-765-0600,031-765-0054,9,,16,Y,,2020-05-08
금강숲어린이집,경기도,광주시,민간,46,7,경기도 광주시 경안천로 145 금강펜테리움2단지 관리동,031-765-1207,,7,,8,Y,,2020-05-08
하랑어린이집,경기도,광주시,가정,19,5,"경기도 광주시 경충대로1422번길 42 205동 106호(쌍령동, 쌍령현대모닝사이드2차아파트)",031-797-6953,070-8813-6953,3,,4,N,,2020-05-08
하버드어린이집,경기도,광주시,민간,137,18,경기도 광주시 초월읍 경충대로1098번길 29-8,031-767-7938,,10,,12,Y,,2020-05-08
아름다운어린이집,경기도,광주시,가정,20,9,"경기도 광주시 오포읍 양촌길 124 104동 104호(양벌리, 양촌현대)",031-798-1287,,3,,4,Y,,2020-05-08
연두콩빅스맘어린이집,경기도,광주시,민간,39,8,경기도 광주시 태성로 130 힐스테이트 태전 9단지 관리동,031-762-3729,,5,,7,N,,2020-05-08
예꼬어린이집,경기도,광주시,가정,20,4,경기도 광주시 현산로 86 도평신일아파트  105동 104호,031-764-9669,,3,,4,Y,,2020-05-08
예꿈자연어린이집,경기도,광주시,민간,60,9,경기도 광주시 천진암로 691,031-766-8056,,5,,7,Y,,2020-05-08
예닮어린이집,경기도,광주시,가정,19,10,"경기도 광주시 회안대로 350-23 305동 103호(태전동, 쌍용3단지아파트)",031-761-5576,,3,,4,N,,2020-05-08
예빛어린이집,경기도,광주시,민간,36,3,경기도 광주시 태전동로 11 306동 1층,031-798-2378,031-798-2378,3,,0,N,,2020-05-08
예쁜숲어린이집,경기도,광주시,가정,19,6,경기도 광주시 밭말길 70-32 아름빌 102호,031-763-0878,,3,,4,Y,,2020-05-08
예슬어린이집,경기도,광주시,가정,19,6,"경기도 광주시 초월읍 경충대로1127번길 55 103동 105호(쌍동리, 초월E편한세상1차아파트)",031-766-9366,031-766-9366,3,,4,Y,,2020-05-08
예진어린이집,경기도,광주시,민간,109,16,경기도 광주시 오포읍 능평로 194-11,031-765-1519,031-765-1539,9,,16,Y,,2020-05-08
오포능평어린이집,경기도,광주시,국공립,120,19,경기도 광주시 오포읍 창뜰아랫길 6,031-714-1477,031-714-1478,8,,12,N,,2020-05-08
오포어린이집,경기도,광주시,민간,181,22,경기도 광주시 오포읍 오포안로 306 (오포어린이집),031-762-2000,031-762-2077,11,,13,Y,,2020-05-08
우림이레어린이집,경기도,광주시,가정,19,4,경기도 광주시 봉골길 82 우림퓨전빌105-101,031-798-8468,,3,,4,Y,,2020-05-08
율곡어린이집,경기도,광주시,가정,20,6,"경기도 광주시 태봉로 77 301동 102호(태전동, 성원상떼빌3단지아파트)",031-764-2883,031-764-0833,4,,5,N,,2020-05-08
이슬어린이집,경기도,광주시,가정,19,5,"경기도 광주시 초월읍 경충대로 921 104동 105호(산이리,벽산블루밍)",031-798-1511,,3,,4,N,,2020-05-08
이화어린이집,경기도,광주시,민간,104,12,경기도 광주시 경안로88번길 9-5,031-768-3900,031-768-3901,7,,10,Y,,2020-05-08
e편한미소어린이집,경기도,광주시,민간,31,8,경기도 광주시 태전동로 16 이편한세상태전2차아파트 관리동,031-699-4421,,3,,4,N,,2020-05-08
e편한빅스맘어린이집,경기도,광주시,민간,39,8,"경기도 광주시 순암로36번길 30 관리동, 1층",031-761-4310,,3,,5,N,,2020-05-08
Baby랑어린이집,경기도,광주시,가정,20,11,"경기도 광주시 고불로 33 105동 104호(장지동, 현대)",031-767-8648,031-767-8648,3,,4,Y,,2020-05-08
e편한아이세상어린이집,경기도,광주시,민간,34,8,경기도 광주시 오포읍 신현로 20 302동 1층(e편한세상오포3차아파트),031-714-1241,031-714-1241,3,,7,N,,2020-05-08
샛별어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 회안대로 90 105동 104호(대성아파트),031-769-1514,031-696-5636,3,,4,N,,2020-05-08
성신아이어린이집,경기도,광주시,가정,18,3,경기도 광주시 이배재로 410-9 한성펠리체 102호,031-797-3826,,3,,4,Y,,2020-05-08
성원 어린이집,경기도,광주시,민간,52,9,경기도 광주시 태봉로 48 성원아파트1단지 복지관2층,031-768-9333,031-768-9334,4,,6,Y,,2020-05-08
세연어린이집,경기도,광주시,민간,164,21,경기도 광주시 태봉로1번길 31,031-766-7001,031-767-7020,11,,32,Y,,2020-05-08
세인어린이집,경기도,광주시,민간,106,15,경기도 광주시 장지3길 6-22 세인어린이집,031-767-1237,031-761-8351,7,,16,Y,,2020-05-08
에덴어린이집,경기도,광주시,가정,20,10,경기도 광주시 포돌이로11번길 10 두진아파트 112호 (경안동),031-765-2717,031-765-2717,3,,4,N,,2020-05-08
영재어린이집,경기도,광주시,가정,20,4,경기도 광주시 내선길 188,031-761-0229,031-761-0207,4,,4,Y,,2020-05-08
예꿈어린이집,경기도,광주시,가정,19,5,경기도 광주시 새말길 158 명가빌라 B동 101호,031-708-6417,,3,,4,N,,2020-05-08
예꿈키즈어린이집,경기도,광주시,가정,19,5,경기도 광주시 탄벌길 60 우림아파트 102동 102호,031-762-8258,,3,,4,Y,,2020-05-08
예닮키즈어린이집,경기도,광주시,가정,19,6,"경기도 광주시 회안대로 350-23 305동 104호(태전동, 쌍용3단지아파트)",031-761-5309,,3,,4,N,,2020-05-08
예쁜숲속어린이집,경기도,광주시,가정,19,6,경기도 광주시 밭말길 70-32 아름빌 101,031-763-3367,,3,,5,Y,,2020-05-08
예소리어린이집,경기도,광주시,민간,80,12,경기도 광주시 오포읍 양벌로 184-22,031-761-2228,031-360-4922,7,,11,Y,,2020-05-08
예아어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 양벌로 375 대주2차 202동 103호,031-797-8355,,3,,4,N,,2020-05-08
예원어린이집,경기도,광주시,민간,43,9,경기도 광주시 경안로 128-44,031-764-7198,031-763-7198,7,,8,Y,,2020-05-08
예향어린이집,경기도,광주시,가정,19,6,경기도 광주시 초월읍 현산로 99 103동 102호(우림1차아파트),031-766-7091,031-766-7091,3,,4,Y,,2020-05-08
온맘어린이집,경기도,광주시,가정,20,4,경기도 광주시 중앙로22번길 30-1 청석파크빌 102호,031-765-7945,,3,,4,Y,,2020-05-08
우리아이어린이집,경기도,광주시,가정,18,3,경기도 광주시 오포읍 새말길 98 105동 101호(용마신현타운),031-711-9152,031-711-9152,3,,4,Y,,2020-05-08
우림빅스맘어린이집,경기도,광주시,가정,16,4,"경기도 광주시 오포읍 마루들길 246 108동 102호(양벌리, 양벌리우림)",031-769-2082,,3,,4,N,,2020-05-08
우림아이나무어린이집,경기도,광주시,가정,19,4,경기도 광주시 초월읍 현산로 99 102동 104호(도평우림퓨전빌A),031-765-4588,,3,,4,Y,,2020-05-08
우림우리아이어린이집,경기도,광주시,가정,20,4,"경기도 광주시 태봉로 86 108동 103호(태전동, 태전동우림필유)",031-699-5567,031-699-5567,3,,4,N,,2020-05-08
유리어린이집,경기도,광주시,민간,73,11,경기도 광주시 이배재로 179-21,031-769-2616,031-769-2622,6,,10,Y,,2020-05-08
이룸어린이집,경기도,광주시,민간,108,13,경기도 광주시 오포읍 양벌로 303-10,031-765-0016,031-765-0017,9,,24,Y,,2020-05-08
이삭사임당어린이집,경기도,광주시,가정,20,4,경기도 광주시 중앙로 10 (쌍령동),031-798-5096,031-798-5096,4,,6,N,,2020-05-08
이편한어린이집,경기도,광주시,가정,20,4,경기도 광주시 오포읍 태재로 20-15 101동 103호(태재e편한세상1단지),031-716-0310,031-716-0310,3,,4,N,,2020-05-08
이화영재어린이집,경기도,광주시,민간,103,16,경기도 광주시 오포읍 마루들길 221-5,031-766-2030,031-766-2038,7,,13,Y,,2020-05-08
인서어린이집,경기도,광주시,민간,68,10,경기도 광주시 오포읍 양벌로 98,031-763-7497,031-763-7498,5,,12,Y,,2020-05-08
자연키즈랜드어린이집,경기도,광주시,민간,123,17,경기도 광주시 오포읍 오포로171번길 17-90,031-767-0690,031-767-3690,10,,16,Y,,2020-05-08
장지어린이집,경기도,광주시,국공립,79,13,경기도 광주시 포은대로 692-4,031-768-4532,031-768-4534,5,,15,Y,,2020-05-08
재활플러스 어린이집,경기도,광주시,민간,39,25,경기도 광주시 오포읍 대명대길11번길 27,031-726-3062,031-726-3237,5,,14,Y,,2020-05-08
정이랑어린이집,경기도,광주시,민간,38,6,경기도 광주시 오포읍 마루들길 259,031-767-5007,031-762-5008,5,,6,Y,,2020-05-08
정화어린이집,경기도,광주시,민간,199,21,경기도 광주시 오포읍 신현로 12-224,031-726-7942,,9,,24,Y,,2020-05-08
조이트리 어린이집,경기도,광주시,가정,20,6,경기도 광주시 초월읍 경충대로 1065 롯데캐슬아파트 104-104,031-798-1771,,3,,4,N,,2020-05-08
조이풀키즈채움늘어린이집,경기도,광주시,민간,171,21,경기도 광주시 초월읍 도평길 17-6,031-764-0028,031-765-1127,10,,12,Y,,2020-05-08
종달새어린이집,경기도,광주시,가정,20,7,경기도 광주시 퇴촌면 광동로56번길 22 102동 101호(넥스빌),031-762-7605,031-763-7609,4,,5,Y,,2020-05-08
좋은나무어린이집,경기도,광주시,가정,20,4,경기도 광주시 태전동로 12 106동 102호(이편한세상 태전2차아파트),031-797-1324,031-797-1321,3,,4,N,,2020-05-08
즐거운어린이집,경기도,광주시,가정,20,7,"경기도 광주시 태봉로 61 205동 101호(태전동, 성원상떼빌2단지아파트)",031-797-0640,,4,,4,N,,2020-05-08
지니어린이집,경기도,광주시,가정,19,5,"경기도 광주시 오포읍 오포로 899 103동 101호(고산리, 우림)",031-764-8026,031-761-8721,3,,4,Y,,2020-05-08
지향어린이집,경기도,광주시,민간,112,19,경기도 광주시 오포읍 성들길 90-1 지향어린이집,031-765-4564,031-765-4563,7,,15,Y,,2020-05-08
진우어린이집,경기도,광주시,국공립,73,13,경기도 광주시 도척면 진말길 11,031-764-9923,031-764-5759,5,,14,Y,,2020-05-08
차일드유2관어린이집,경기도,광주시,법인·단체,133,19,경기도 광주시 사기막길95번길 46,031-765-6127,031-768-8255,9,,18,Y,,2020-05-08
참좋은어린이집,경기도,광주시,민간,124,13,경기도 광주시 삼지곡길 43,031-761-8051,031-769-8051,8,,16,Y,,2020-05-08
채송화어린이집,경기도,광주시,가정,20,7,"경기도 광주시 태봉로 86 103동 101호(태전동, 태전동우림필유)",031-797-3811,031-797-3811,3,,4,Y,,2020-05-08
청명어린이집,경기도,광주시,민간,139,20,경기도 광주시 초월읍 현산로 83-3,031-798-2101,031-763-2102,14,,43,Y,,2020-05-08
달란트어린이집,경기도,광주시,민간,58,5,경기도 광주시 곤지암읍 평촌길11번길 16-13,031-763-9751,031-763-9751,7,,8,Y,,2020-05-08
더행복한어린이집,경기도,광주시,가정,19,5,경기도 광주시 순암로36번길 70 이편한세상아파트 203동 103호,031-767-4303,031-767-4303,3,,4,N,,2020-05-08
단비어린이집,경기도,광주시,가정,20,6,경기도 광주시 산수로 1252-3 주은빌리지101호,031-763-2108,,3,,4,Y,,2020-05-08
도담어린이집,경기도,광주시,민간,43,9,경기도 광주시 순암로36번길 88 1층,031-765-7942,,3,,4,N,,2020-05-08
동그라미어린이집,경기도,광주시,가정,19,4,경기도 광주시 파발로 201 101-106,031-763-5618,031-763-5646,3,,4,Y,,2020-05-08
동화나라어린이집,경기도,광주시,민간,135,15,경기도 광주시 도척면 노곡로5번길 52-5,031-762-1004,031-762-1904,8,,15,Y,,2020-05-08
두껍아두껍아뭐하니어린이집,경기도,광주시,협동,33,5,경기도 광주시 오포읍 창뜰아랫길 37-17,031-717-9954,031-717-1188,5,,0,N,,2020-05-08
드림아이어린이집,경기도,광주시,민간,115,18,경기도 광주시 경안로98번길 43-2,031-766-9449,031-765-8415,8,,15,Y,,2020-05-08
딩동댕빅스맘어린이집,경기도,광주시,민간,34,7,경기도 광주시 태전동로 12 e편한세상 태전2차 1단지 커뮤니티센터1층,031-766-4778,031-767-4779,4,,8,N,,2020-05-08
또래어린이집,경기도,광주시,민간,69,11,경기도 광주시 초월읍 산수로 93,031-763-3004,031-765-2213,7,,12,Y,,2020-05-08
라온몬테소리2어린이집,경기도,광주시,민간,20,4,경기도 광주시 회안대로 621-15 관리동,031-765-1121,,4,,5,Y,,2020-05-08
라온어린이집,경기도,광주시,민간,49,5,경기도 광주시 통미로64번길 26 (송정동),031-764-3537,031-764-3537,4,,7,Y,,2020-05-08
레인보우어린이집,경기도,광주시,민간,119,18,경기도 광주시 목동길 110,031-767-8060,031-767-1060,7,,10,Y,,2020-05-08
리라어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 봉골길 82 105-102(우림퓨전빌아파트),031-764-9888,,3,,4,N,,2020-05-08
리안어린이집,경기도,광주시,민간,90,15,경기도 광주시 장지7길 29-25 (장지동),031-765-5355,031-797-8782,7,,8,Y,,2020-05-08
리틀잼잼어린이집,경기도,광주시,가정,19,9,경기도 광주시 오포읍 회안대로 90 대성아파트101동106호,031-769-4381,,3,,4,Y,,2020-05-08
리틀정다운어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 양촌안길 35-17 세양청마루아파트 105동 107호,031-699-5141,,3,,4,Y,,2020-05-08
리틀킹어린이집,경기도,광주시,가정,20,5,"경기도 광주시 곤지암읍 곤지암로 108 202동 106호(곤지암리, 곤지암쌍용2차아파트)",031-761-7802,031-761-7802,3,,4,Y,,2020-05-08
맑은샘키즈 어린이집,경기도,광주시,가정,19,6,"경기도 광주시 태봉로 48 108동 103호(태전동, 성원상떼빌1단지아파트)",031-769-4211,031-769-4211,3,,4,Y,,2020-05-08
매산동화나라어린이집,경기도,광주시,민간,68,10,경기도 광주시 오포읍 독산동길 34-33,031-765-2324,031-765-2324,6,,16,Y,,2020-05-08
매산어린이집,경기도,광주시,국공립,73,14,경기도 광주시 오포읍 매자리길 11-24,031-765-5214,031-765-5215,6,,10,Y,,2020-05-08
명성어린이집,경기도,광주시,민간,99,17,경기도 광주시 절골길 12-13,031-765-7175,031-767-7175,7,,10,Y,,2020-05-08
무지개어린이집,경기도,광주시,민간,76,6,경기도 광주시 지월로55번길 8,031-766-1033,,4,,13,Y,,2020-05-08
민재숲어린이집,경기도,광주시,가정,18,4,경기도 광주시 오포읍 마루들길 248 101동 106호,031-769-1561,031-769-1561,3,,4,Y,,2020-05-08
배꼽어린이집,경기도,광주시,민간,134,21,경기도 광주시 고불로 62-7,031-797-0590,031-766-8511,10,,15,Y,,2020-05-08
베베숲어린이집,경기도,광주시,가정,20,6,경기도 광주시 태봉로 77 성원아파트303동101호,031-769-7774,031-769-7774,3,,4,Y,,2020-05-08
베베클럽어린이집,경기도,광주시,가정,19,5,"경기도 광주시 광주대로129번길 11-5 102동 102호(송정동, 현대아파트)",031-769-7757,031-769-7078,3,,4,Y,,2020-05-08
베스트중앙어린이집,경기도,광주시,민간,170,9,경기도 광주시 포돌이로 59-19 (경안동),031-761-1004,031-761-1007,10,,13,Y,,2020-05-08
베이비수어린이집,경기도,광주시,가정,19,7,경기도 광주시 초월읍 현산로 99 103동 103호,031-797-9709,031-764-9709,3,,4,Y,,2020-05-08
벽산예원어린이집,경기도,광주시,민간,32,8,경기도 광주시 초월읍 경충대로 921 관리동 1층,031-762-5988,031-762-5988,3,,4,Y,,2020-05-08
보석어린이집,경기도,광주시,민간,35,6,경기도 광주시 봉골길134번길 14-5,031-767-3467,031-767-3467,5,,6,Y,,2020-05-08
꾸러기어린이집,경기도,광주시,민간,122,17,경기도 광주시 목동길 3-10,031-768-1677,031-765-6600,7,,12,Y,,2020-05-08
꿈가득어린이집,경기도,광주시,가정,16,4,경기도 광주시 텃골길 63-17 오페라하우스 106동 101호,070-7533-3996,,3,,4,N,,2020-05-08
꿈나래어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 회안대로 90-1 101동 102호(대성아파트),031-761-7904,,3,,4,Y,,2020-05-08
꿈담터어린이집,경기도,광주시,가정,19,3,"경기도 광주시 태봉로13번길 17 101동 105호(장지동, 금광아파트)",031-699-7597,031-699-7597,3,,4,N,,2020-05-08
꿈동산어린이집,경기도,광주시,가정,17,4,경기도 광주시 오포읍 양촌길 146-32  A동 101호(인창하이빌),031-767-7745,,3,,4,Y,,2020-05-08
꿈이자라는어린이집,경기도,광주시,민간,49,6,경기도 광주시 경안천로 31-1,031-797-1773,031-797-1773,4,,4,Y,,2020-05-08
꿈터어린이집,경기도,광주시,민간,61,11,경기도 광주시 태봉로 61 성원아파트 2단지 관리사무소 2층,031-767-8811,031-797-5938,5,,7,Y,,2020-05-08
남동어린이집,경기도,광주시,민간,99,15,경기도 광주시 고불로46번길 40,031-766-1688,031-798-1566,7,,16,Y,,2020-05-08
남한산숲제2어린이집,경기도,광주시,가정,15,2,경기도 광주시 남한산성면 불당길37번길 48,070-4235-0812,,2,,0,Y,,2020-05-08
노리하우스어린이집,경기도,광주시,가정,20,4,경기도 광주시 오포읍 청석로 70 102동 104호(광주역우방아이유쉘),031-798-2695,031-798-2695,4,,5,N,,2020-05-08
누리봄어린이집,경기도,광주시,가정,20,4,경기도 광주시 고불로 87 107동 104호(효성해링턴플레이스A),031-699-8311,,4,,5,N,,2020-05-08
누리어린이집,경기도,광주시,민간,147,20,경기도 광주시 오포읍 양촌길 26-33 (매산리 628-16),031-765-4117,031-769-5455,7,,11,Y,,2020-05-08
느티나무어린이집,경기도,광주시,가정,20,6,"경기도 광주시 중앙로 338-8 101동 101호(송정동, 선경파크)",031-768-7223,,3,,4,N,,2020-05-08
능평어린이집,경기도,광주시,민간,145,16,경기도 광주시 오포읍 능평로 182 (능평리 171-6번지),031-766-5424,031-767-5424,13,,16,Y,,2020-05-08
다솔어린이집,경기도,광주시,가정,20,4,경기도 광주시 태봉로 61 성원아파트201동106호,031-797-0807,,3,,4,Y,,2020-05-08
다솜어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 마루들길 226 201동 104호(쌍용2차),031-763-7310,031-763-7310,3,,4,N,,2020-05-08
이화키즈스쿨어린이집,경기도,광주시,민간,154,23,경기도 광주시 능평로30번길 6-8,031-718-8123,031-718-8124,15,,32,Y,,2020-05-08
자연사랑어린이집,경기도,광주시,민간,81,12,경기도 광주시 순암로492번길 60-1 (삼동),031-769-7511,031-769-7948,6,,16,Y,,2020-05-08
태전IPARK어린이집,경기도,광주시,민간,40,10,경기도 광주시 태봉로 110 지하1층,031-768-7373,,5,,8,N,,2020-05-08
태전어린이집,경기도,광주시,국공립,90,15,경기도 광주시 장지7길 63-48,031-768-3268,031-768-3269,6,,16,Y,,2020-05-08
태전예진어린이집,경기도,광주시,민간,142,22,경기도 광주시 태봉로 20-1,031-768-0073,031-768-0074,10,,20,Y,,2020-05-08
토탈베이비어린이집,경기도,광주시,가정,20,7,"경기도 광주시 경충대로1422번길 26 201동 101호(쌍령동, 쌍령동성2차아파트)",031-797-4643,031-8028-4643,3,,4,Y,,2020-05-08
통큰에듀파크어린이집,경기도,광주시,민간,115,18,경기도 광주시 벌원길 63-11,031-763-3226,031-765-2229,8,,13,Y,,2020-05-08
트니트니어린이집,경기도,광주시,가정,19,7,경기도 광주시 벌원길 64-5 동보아파트 104-116,031-699-4245,,3,,4,N,,2020-05-08
튼튼어린이집,경기도,광주시,가정,19,7,"경기도 광주시 회안대로 350-25 102동 102호(태전동, 쌍용아파트)",031-769-5633,031-769-5633,3,,6,N,,2020-05-08
파랑새어린이집,경기도,광주시,가정,20,5,경기도 광주시 오포읍 오포로 131-6 장우맨션 101동 101호,031-767-0330,031-767-0330,4,,4,N,,2020-05-08
푸른숲어린이집,경기도,광주시,협동,18,4,경기도 광주시 퇴촌면 산수로 870-81,070-4139-9865,,2,,0,N,,2020-05-08
푸른숲우리어린이집,경기도,광주시,민간,70,9,경기도 광주시 오포읍 새말길167번길 13,031-715-9119,031-715-9229,6,,12,Y,,2020-05-08
풍경어린이집,경기도,광주시,가정,17,2,경기도 광주시 오포읍 상태길 101-16 1동 101호,031-726-2726,,3,,4,N,,2020-05-08
하늘꿈땅어린이집,경기도,광주시,가정,20,6,경기도 광주시 회안대로 350-29 쌍용아파트201동106호,031-8028-5999,,3,,4,N,,2020-05-08
하늘담은어린이집,경기도,광주시,가정,17,4,경기도 광주시 오포읍 마루들길 278 캐슬타운 102호,031-798-4825,031-798-4825,3,,4,Y,,2020-05-08
하늘사랑어린이집,경기도,광주시,가정,17,3,경기도 광주시 태재로 137-14 금강빌라 나동 102호,070-8834-1002,,3,,4,N,,2020-05-08
하늘정원어린이집,경기도,광주시,가정,19,6,경기도 광주시 초월읍 현산로 119 우림2차아파트 202동 105호,031-798-2677,,3,,4,Y,,2020-05-08
빛나어린이집,경기도,광주시,법인·단체,68,8,경기도 광주시 퇴촌면 천진암로 534-4,031-767-5764,031-767-5765,4,,7,Y,,2020-05-08
뿌리깊은경진어린이집,경기도,광주시,민간,172,28,경기도 광주시 장지1길 46,031-761-4549,031-761-4843,8,,20,Y,,2020-05-08
사랑가득어린이집,경기도,광주시,가정,20,6,경기도 광주시 벌원길 64-5 동보아파트101-105,070-4025-0852,070-4025-0873,3,,4,N,,2020-05-08
사랑맘어린이집,경기도,광주시,가정,19,0,경기도 광주시 도척면 도척로 404-6 102동 106호(근형심포니),031-762-9907,,3,,4,N,,2020-05-08
사랑숲어린이집,경기도,광주시,민간,38,4,경기도 광주시 초월읍 경충대로 1065 롯데캐슬아파트 1단지 관리동 2층,031-797-7335,031-797-7385,3,,4,Y,,2020-05-08
사랑어린이집,경기도,광주시,가정,17,2,경기도 광주시 오포읍 상태길 41-20 나동 101호(정성주택),031-726-1906,031-726-1906,3,,4,N,,2020-05-08
사임당어린이집,경기도,광주시,가정,20,14,"경기도 광주시 태봉로 77 301동 101호(태전동, 성원상떼빌3단지아파트)",031-764-0833,031-764-0833,4,,5,N,,2020-05-08
산새소리어린이집,경기도,광주시,민간,42,10,경기도 광주시 순암로36번길 87 3단지 관리동 1층,031-769-0636,,4,,6,N,,2020-05-08
삼리빅스맘어린이집,경기도,광주시,가정,17,6,경기도 광주시 평촌길 17 현진에버빌102동101호,031-797-1946,,3,,4,N,,2020-05-08
삼리어린이집,경기도,광주시,민간,123,17,경기도 광주시 평촌길60번길 16,031-798-7119,031-798-7109,8,,14,Y,,2020-05-08
